x,y,value,tile_id
-480.4229786110709,8783.83134318244,99,0_-2_34
-294.7871902258695,8887.50641440558,78,0_-2_34
-295.37426929270566,8751.492867066325,55,0_-2_34
-264.99132810129333,8712.628135153083,96,0_-2_34
-414.8852405318793,8875.661412375966,86,0_-2_34
-314.44785050012626,8775.985094303285,72,0_-2_34
-368.19440560854207,8861.294051396551,79,0_-2_34
-312.98155995389106,8775.581419448017,84,0_-2_34
-464.7040906114428,8949.300319222224,82,0_-2_34
-431.48115538289846,8760.447178969865,82,0_-2_34
