x,y,value
3510.663995506149,9836.765898315365,77
4016.681210266607,9975.92813291244,81
3513.692342067394,8703.363131914675,61
3512.5363116884964,9125.780674816055,97
3866.3823242566423,9122.571889205514,91
2788.761066144726,9037.191513544729,76
2882.9422722171084,9921.880485065036,59
3464.257423853139,9410.22999471276,95
3238.985628306413,9374.885643443857,91
3902.524854771262,8505.211881895786,81
3291.3891507130197,9824.852079203774,91
3039.2493378059794,8887.513866672425,75
4478.225572934402,9537.109379232326,74
3632.5130382303573,9645.831533078257,60
3779.165290817587,10187.472362018487,72
3033.027095366897,8852.732864539606,83
3473.209826211034,7997.38698618875,89
3800.862483328558,9599.06783647601,72
3169.9043997624735,10407.398654854589,78
3933.250197646461,10126.616240568881,80
3445.081843514223,9611.972771736475,56
3599.5543135769867,9261.324971283138,89
3444.5478823589265,9910.704362417817,82
4671.540280728094,9020.369964246927,70
3738.6525761046582,9745.321948777271,51
3216.545723995675,9759.878143682476,67
4156.67364452522,10037.248017848602,96
3134.979363488114,10886.973083554702,82
3849.832985976003,9703.351047688546,86
2765.5661265337376,9252.661251245412,83
3081.30816402441,9494.355908003165,69
3843.831806408187,8622.605111654602,84
4114.63447847133,9159.786498554633,99
3831.0853290686105,9302.50184504261,67
3687.5770472795048,9245.098865131866,95
3594.8493406789808,9583.320500116022,73
3006.1401932899116,9095.933097908062,57
3385.479084276271,10067.658397761397,79
3515.0818029937313,9507.246596558261,93
4273.962301583083,9502.492903529856,59
3917.210333257856,9343.195705842703,72
2863.8811107922584,9584.738406028651,98
3907.4431731710224,9919.69219643298,60
3552.860048265467,9073.577956243713,51
3406.9401883206456,9178.084819561534,75
4051.239332894059,9355.28004971083,85
4260.9009497216,8834.207602362554,82
4211.0412480317245,9097.514134238414,96
3325.792426862306,9269.032627326833,62
3590.795000548018,9944.337654455527,89
3911.032904175407,9638.423728600124,74
4233.173752034805,9603.938019782934,53
3505.81406955098,9932.592045183148,91
3652.5717001417165,9438.457169899464,68
3192.233701470611,9702.375489063606,67
3147.2978764332897,9455.532187632914,86
4151.664099670724,9639.824238798976,79
4423.521202759037,9215.76373529337,68
3709.396127683458,8287.734484960947,72
4247.167637419637,9440.00348300601,65
3926.2192009974424,10218.517132149133,50
3422.841311171063,9970.250765219958,61
3926.098991227832,9989.841806394747,73
4514.419471706609,10125.20842500227,83
3727.4881689186495,9551.47185957988,57
4527.723016380628,9605.80091780196,67
2435.528636428753,9198.317116381986,97
4156.352440661237,9349.106636085637,54
3788.9247225927106,9815.028638984733,75
3595.8975132406913,10109.08528268357,79
3791.2815767413763,9437.419926258663,62
2751.616731173179,9282.048431673456,68
3635.565244554869,9507.40704352746,78
3923.957474229498,9807.74643856372,52
4484.348210844383,8785.215656032391,75
